id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1778914665983_5i6flbwa,2,القطامية,12,40,40,900,2026-05-16 06:57:45.983+00,2026-06-16 12:45:25.234+00,قطامية بالمز
zone_1778914665983_wuzk3u10,1,التجمع الخامس,1.4,10,40,900,2026-05-16 06:57:45.982+00,2026-06-16 12:45:25.234+00,النرجس
zone_1779113064338_ymovhrcau,1,التجمع الخامس,5.2,40,40,900,2026-05-18 14:04:24.338+00,2026-06-16 12:45:25.234+00,كمبوند الديار
zone_1779113552023_n906wcrgg,1,التجمع الخامس,8.6,40,40,900,2026-05-18 14:12:32.023+00,2026-06-16 12:45:25.234+00,لاك فيو
zone_1779113584658_l44wrpy1x,1,التجمع الخامس,9.6,40,40,900,2026-05-18 14:13:04.658+00,2026-06-16 12:45:25.234+00,مون فالي
zone_1779113832801_h04x6dmcz,10,أكتوبر - الشيخ زايد,91.2,135,135,2300,2026-05-18 14:17:12.801+00,2026-06-16 12:45:25.234+00,أكتوبر - الشيخ زايد
zone_1779113832801_p3ycgx57g,6,حلوان,53,105,105,2300,2026-05-18 14:17:12.801+00,2026-06-16 12:45:25.234+00,15 مايو
zone_1779113832801_rm64f16j9,1,التجمع الخامس,9.8,40,40,900,2026-05-18 14:17:12.801+00,2026-06-16 12:45:25.234+00,مصراوية
zone_1779113946123_vuy9r219f,1,التجمع الخامس,9.8,40,40,900,2026-05-18 14:19:06.123+00,2026-06-16 12:45:25.234+00,ارابيلا
zone_1779113994578_axfcez02g,1,التجمع الخامس,7.2,40,40,900,2026-05-18 14:19:54.578+00,2026-06-16 12:45:25.234+00,التجمع
zone_1779113994578_uw9i8c0f2,1,التجمع الخامس,7.2,40,40,900,2026-05-18 14:19:54.578+00,2026-06-16 12:45:25.234+00,التجمع الاول
zone_1779115205314_6c4j3ryo0,7,المعادى,61.2,55,55,1800,2026-05-18 14:40:05.314+00,2026-06-16 12:45:25.234+00,كورنيش المعادي
zone_1779115205314_iy4532hal,5,المعادى,48.8,55,55,1800,2026-05-18 14:40:05.314+00,2026-06-16 12:45:25.234+00,بساتين
zone_1779115308584_nq5897uzw,5,المعادى,53.2,55,55,1800,2026-05-18 14:41:48.584+00,2026-06-16 12:45:25.234+00,المعادى
