id,entityType,entityId,orderId,action,changedBy,changedAt,summary,details
hist_1778927190352_7wg09fcjb,order,ord_1778927190048_bd19o3d6l,ord_1778927190048_bd19o3d6l,created,user_1778927138466,2026-05-16 10:26:30.352+00,تم إنشاء الطلب 160526online1,"{""orderNo"":""160526online1"",""itemCount"":1,""orderTotal"":772}"
hist_1778933623582_qm6d0q2rr,order,ord_1778933623259_6ejxvjuma,ord_1778933623259_6ejxvjuma,created,user_1778933584563,2026-05-16 12:13:43.582+00,تم إنشاء الطلب 160526online2,"{""orderNo"":""160526online2"",""itemCount"":1,""orderTotal"":595}"
hist_1778933659024_pj842wjar,delivery,del_1778933623471_gvmyxuwk4,ord_1778933623259_6ejxvjuma,status_changed,user_1778933646711,2026-05-16 12:14:19.024+00,تم تغيير حالة التوصيل إلى جاهز,"{""toStatus"":""جاهز"",""fromStatus"":""لم يخرج بعد"",""hasInvoicePhoto"":false,""hasBranchComments"":false,""productPhotosCount"":0}"
hist_1778933663531_z5mn3dyxc,delivery,del_1778933623471_gvmyxuwk4,ord_1778933623259_6ejxvjuma,updated,user_1778933646711,2026-05-16 12:14:23.532+00,تم تحديث بيانات التوصيل,"{""toStatus"":""جاهز"",""fromStatus"":""جاهز"",""hasInvoicePhoto"":false,""hasBranchComments"":false,""productPhotosCount"":0}"
hist_1778936364959_0p54zhy18,order,ord_1778936364617_iz0sefq0w,,created,user_1778935943986,2026-05-16 12:59:24.959+00,تم إنشاء الطلب 160526online3,"{""orderNo"":""160526online3"",""itemCount"":1,""orderTotal"":500}"
hist_1778936453962_08izbjt9i,order,ord_1778936453495_7owkpwynu,,created,user_1778935943986,2026-05-16 13:00:53.962+00,تم إنشاء الطلب 160526online4,"{""orderNo"":""160526online4"",""itemCount"":1,""orderTotal"":1000}"
hist_1778937177313_qsbyt2axo,order,ord_1778937177006_zqe9tn0h4,,created,user_1778935943986,2026-05-16 13:12:57.313+00,تم إنشاء الطلب 160526app1,"{""orderNo"":""160526app1"",""itemCount"":1,""orderTotal"":245}"
hist_1778937455396_39n5baz0r,order,ord_1778936364617_iz0sefq0w,,updated,user_1778935943986,2026-05-16 13:17:35.396+00,تم تعديل الطلب 160526online3,"{""itemCount"":1,""orderTotal"":677,""changedFields"":[]}"
hist_1778937555964_y7htvbi6j,delivery,del_1778936364835_mueymv3eh,,status_changed,user_1778937265168,2026-05-16 13:19:15.964+00,تم تغيير حالة التوصيل إلى جاهز,"{""toStatus"":""جاهز"",""fromStatus"":""لم يخرج بعد"",""hasInvoicePhoto"":false,""hasBranchComments"":false,""productPhotosCount"":0}"
hist_1778937566788_dg25ja9w0,delivery,del_1778936364835_mueymv3eh,,updated,user_1778937265168,2026-05-16 13:19:26.788+00,تم تحديث بيانات التوصيل,"{""toStatus"":""جاهز"",""fromStatus"":""جاهز"",""hasInvoicePhoto"":false,""hasBranchComments"":false,""productPhotosCount"":0}"
hist_1778943349361_rjqcclnqv,order,ord_1778943349040_rf4qeob25,,created,user_1778943232752,2026-05-16 14:55:49.361+00,تم إنشاء الطلب 160526online5,"{""orderNo"":""160526online5"",""itemCount"":1,""orderTotal"":490}"
hist_1778998704540_e7wu0zyp5,delivery,del_1778943349257_rj5u474br,,status_changed,user_1778998402114,2026-05-17 06:18:24.54+00,تم تغيير حالة التوصيل إلى تم التوصيل,"{""toStatus"":""تم التوصيل"",""fromStatus"":""لم يخرج بعد"",""hasInvoicePhoto"":false,""hasBranchComments"":false,""productPhotosCount"":0}"
hist_1778998715660_lk40jbhjp,delivery,del_1778943349257_rj5u474br,,updated,user_1778998402114,2026-05-17 06:18:35.66+00,تم تحديث بيانات التوصيل,"{""toStatus"":""تم التوصيل"",""fromStatus"":""تم التوصيل"",""hasInvoicePhoto"":false,""hasBranchComments"":false,""productPhotosCount"":0}"
