id,orderId,deliveryStatus,branchComments,productPhotos,invoicePhoto,deliveredAt,updatedBy,updatedAt
del_1778927190251_c5cdou7ay,ord_1778927190048_bd19o3d6l,لم يخرج بعد,,[],,,,2026-05-16 10:26:29.193+00
del_1778933623471_gvmyxuwk4,ord_1778933623259_6ejxvjuma,جاهز,,[],,,user_1778933646711,2026-05-16 12:14:23.337+00
del_1779002301584_kzr8vcer9,ord_1779002301372_ktfsls3le,لم يخرج بعد,,[],,,,2026-05-17 07:18:20.736+00
del_1779003204233_l2f85y89s,ord_1779003204010_g5vhq7pk9,لم يخرج بعد,,[],,,,2026-05-17 07:33:22.941+00
del_1779004483802_t4ot0zt01,ord_1779004483569_m6cunal3n,لم يخرج بعد,,[],,,,2026-05-17 07:54:42.617+00
del_1779005911936_4zyage4ri,ord_1779005911720_xn6dw9o54,لم يخرج بعد,,[],,,,2026-05-17 08:18:31.08+00
del_1779006410105_8m6yv48tc,ord_1779006409899_v8vzjmhwl,لم يخرج بعد,,[],,,,2026-05-17 08:26:49.249+00
del_1779007942915_q3no1zb90,ord_1779007942717_382zubowh,لم يخرج بعد,,[],,,,2026-05-17 08:52:22.068+00
del_1779009033824_7ncwqwasx,ord_1779009033626_fm4lcll2j,لم يخرج بعد,,[],,,,2026-05-17 09:10:32.991+00
del_1779011108246_ujmxfmnft,ord_1779011107968_yozxw5j16,لم يخرج بعد,,[],,,,2026-05-17 09:45:07.201+00
del_1779011382229_uutv4k2f2,ord_1779011382027_sok5o9boj,لم يخرج بعد,,[],,,,2026-05-17 09:49:41.382+00
del_1779011670324_yol3r89l9,ord_1779011670125_htrxowtr0,تم التوصيل,,[],,2026-06-08 12:03:54.676+00,branch,2026-06-08 12:03:54.676+00
del_1779012209067_dlvdxx7z2,ord_1779012208857_z678awwrw,لم يخرج بعد,,[],,,,2026-05-17 10:03:28.183+00
del_1779013507243_g6s928jzu,ord_1779013507028_q765t8syo,تم التوصيل,,[],,2026-06-08 12:03:49.703+00,branch,2026-06-08 12:03:49.703+00
del_1779087835840_7ixnzpzsa,ord_1779087835606_hvn7fh5za,لم يخرج بعد,,[],,,,2026-05-18 07:03:54.759+00
del_1779165735047_9zcpv8g95,ord_1779165734816_hr53ipyep,تم التوصيل,,[],,2026-05-19 17:23:07.523+00,branch,2026-05-19 17:23:07.523+00
del_1779187692858_2srowedg0,ord_1779187692644_wzwd1wy3s,لم يخرج بعد,,[],,,,2026-05-19 10:48:11.827+00
del_1779193538082_9ghx9lfdf,ord_1779193537840_q5fwls6sn,تم التوصيل,,[],,2026-05-19 17:11:34.088+00,branch,2026-05-19 17:11:34.088+00
del_1779279991865_hcpukco6y,ord_1779279991627_fu41e0a5x,لم يخرج بعد,,[],,,,2026-05-20 12:26:30.799+00
del_1779605507046_4squ45lh7,ord_1779605506802_fokq0n2ql,تم التوصيل,,[],,2026-05-24 08:29:13.206+00,user_1779611030356,2026-05-24 08:29:15.442+00
del_1779606087216_rnlkfopy1,ord_1779606086986_saci7dq8t,تم التوصيل,,[],,2026-05-24 08:28:48.084+00,user_1779611030356,2026-05-24 08:28:50.502+00
del_1779611203942_zqq3aam5s,ord_1779611203720_cwypw2kqa,تم التوصيل,,[],,2026-05-24 08:29:39.363+00,user_1779611030356,2026-05-24 08:29:41.573+00
del_1779713240115_5rilzpw8w,ord_1779713239872_xsgrycqwn,تم التوصيل,,[],,2026-05-26 08:52:14.094+00,user_1779785235864,2026-05-26 08:52:17.263+00
