id,orderId,productId,quantity,weightGrams,unitPrice,lineTotal,specialInstructions,createdAt,originalQuantity,originalWeightGrams
item_1778927190152_1eitbf960,ord_1778927190048_bd19o3d6l,dfed35df-2859-424c-aed9-55a28fdd23e2,1,0,677,677,,2026-05-16 10:26:29.193+00,,
item_1778933623366_w2g15vn1x,ord_1778933623259_6ejxvjuma,17da87fb-347d-4b3a-a1f8-f3446d00558c,1,0,500,500,,2026-05-16 12:13:42.385+00,,
item_1779003204132_6qhs9uhjb,ord_1779003204010_g5vhq7pk9,93c2e565-5ddd-4da1-a0fe-d10704146ff5,1,0.5,282,282,,2026-05-17 07:33:22.941+00,,
item_1779004483689_6yod4jeki,ord_1779004483569_m6cunal3n,55ec7a24-fce8-406d-b954-7583ec014684,1,0,570,570,,2026-05-17 07:54:42.617+00,,
item_1779004483689_8vxs3gc56,ord_1779004483569_m6cunal3n,9a334e45-e394-4b78-81fb-97d78243530e,1,0.5,272,272,,2026-05-17 07:54:42.617+00,,
item_1779004483689_j82kokaaf,ord_1779004483569_m6cunal3n,17da87fb-347d-4b3a-a1f8-f3446d00558c,2,0,289,578,,2026-05-17 07:54:42.617+00,,
item_1779004483689_pn1mdvqoi,ord_1779004483569_m6cunal3n,42af94c6-00a5-49ad-9ab9-b981691df4ca,1,1000,286,286,نص بانيه شرائح رفيع,2026-05-17 07:54:42.617+00,,
item_1779004483689_uzmp0q5xu,ord_1779004483569_m6cunal3n,42af94c6-00a5-49ad-9ab9-b981691df4ca,2,1000,286,572,عدد 2 صدر مخلي بدون تقطيع,2026-05-17 07:54:42.617+00,,
item_1779005911829_84m4wgrbe,ord_1779005911720_xn6dw9o54,6d3f6af2-04ac-4fd8-8b02-4e389cbc8851,4,0.5,290,1160,,2026-05-17 08:18:31.08+00,,
item_1779005911829_aqvpqlfd1,ord_1779005911720_xn6dw9o54,93c2e565-5ddd-4da1-a0fe-d10704146ff5,2,0.5,282,564," تقطيع وسط مدقوق بسيط جدا",2026-05-17 08:18:31.08+00,,
item_1779005911829_f2mjpxyav,ord_1779005911720_xn6dw9o54,a079a621-4c78-4b4a-a3d1-8ae58e063d2a,6,0.5,290,1740,,2026-05-17 08:18:31.08+00,,
item_1779005911829_ihimfb243,ord_1779005911720_xn6dw9o54,5941a91d-6ba5-4717-b103-bb15b6cc5ca9,2,0,204,408,,2026-05-17 08:18:31.08+00,,
item_1779006410005_td4u0y1ew,ord_1779006409899_v8vzjmhwl,fe84b67b-0bfd-4204-94a3-24c113e2156f,5,0.5,265,1325,,2026-05-17 08:26:49.249+00,,
item_1779006410005_udhqd8ozf,ord_1779006409899_v8vzjmhwl,93c2e565-5ddd-4da1-a0fe-d10704146ff5,4,0.5,282,1128," تقطيع وسط",2026-05-17 08:26:49.249+00,,
item_1779006410005_xe88k36xk,ord_1779006409899_v8vzjmhwl,6d3f6af2-04ac-4fd8-8b02-4e389cbc8851,6,0.5,290,1740,"مكعبات وسط ",2026-05-17 08:26:49.249+00,,
item_1779008134683_79ddxvqnc,ord_1779007942717_382zubowh,977f16ec-f8c4-419b-8d86-78feb4882d52,2,1,200,400,تقطيع 4 كل كيس في فرخه وزن لا يقل عن ك ونص,2026-05-17 08:55:34.031+00,,
item_1779008134683_t1b4cuohx,ord_1779007942717_382zubowh,37ced056-9fc4-4c3f-9d97-c5518fa4ac47,6,1,218,1308,"  كل فرخه تقطيع 4 في كيس فاكيوم لوحدها ",2026-05-17 08:55:34.031+00,,
item_1779009033727_3amcfbfve,ord_1779009033626_fm4lcll2j,31f164ed-4b8a-4665-8181-88e978f258d8,3,0,162,486,,2026-05-17 09:10:32.991+00,,
item_1779009033727_3xyozcet5,ord_1779009033626_fm4lcll2j,a54c471a-6766-4576-905a-29809155fea5,10,0.4,219,2190,,2026-05-17 09:10:32.991+00,,
item_1779009033727_brokct482,ord_1779009033626_fm4lcll2j,d7e6446e-28ba-4637-94c7-f43023578a9b,10,0.4,203,2030,,2026-05-17 09:10:32.991+00,,
item_1779011108117_71b9x36sm,ord_1779011107968_yozxw5j16,42af94c6-00a5-49ad-9ab9-b981691df4ca,2,1000,286,572," بانيه فريش بدون تقطيع",2026-05-17 09:45:07.201+00,,
item_1779011108117_8a7yy4t2h,ord_1779011107968_yozxw5j16,e65ab4fe-4a93-4be8-a88f-76586b08149e,1,0.5,280,280,,2026-05-17 09:45:07.201+00,,
item_1779011108117_bhhny5zh7,ord_1779011107968_yozxw5j16,68629244-9baa-4e67-ab55-de2e2b04919a,2,1,176,352,دجاج ابيض وزن لا يزيد عن 1:400 بدون تقطيع,2026-05-17 09:45:07.201+00,,
item_1779011108117_f254lixky,ord_1779011107968_yozxw5j16,17da87fb-347d-4b3a-a1f8-f3446d00558c,1,0.5,289,289,,2026-05-17 09:45:07.201+00,,
item_1779011108117_faz3hi7pe,ord_1779011107968_yozxw5j16,69c1afe5-7a8c-4e81-afe3-b0efa9d9a491,1,0.5,175,175,,2026-05-17 09:45:07.201+00,,
item_1779011108117_ovn0qvr0j,ord_1779011107968_yozxw5j16,44e1ca78-c447-4697-9e4d-7fced11fda8c,1,0.5,175,175,,2026-05-17 09:45:07.201+00,,
item_1779011108117_tp79yj0lh,ord_1779011107968_yozxw5j16,ca56588c-3888-41f4-9406-e72846660daa,1,2,543,543,,2026-05-17 09:45:07.201+00,,
item_1779011108117_ukq7verkc,ord_1779011107968_yozxw5j16,04a4e832-691a-4499-98d4-148ba49b689b,2,0,128,256,,2026-05-17 09:45:07.201+00,,
item_1779011108117_uqt9dp01n,ord_1779011107968_yozxw5j16,038ad9ea-16b6-4a56-9206-1985df1eff74,2,0.5,325,650,كبدة صافي شرايح للقلي,2026-05-17 09:45:07.201+00,,
item_1779011108117_w4yo60tyv,ord_1779011107968_yozxw5j16,a54c471a-6766-4576-905a-29809155fea5,1,0.4,219,219,,2026-05-17 09:45:07.201+00,,
item_1779011108117_w5bn4x7ou,ord_1779011107968_yozxw5j16,a7a2f625-4e2c-46ee-aeee-f7ee0d5624fa,1,0.4,124,124,,2026-05-17 09:45:07.201+00,,
item_1779011108117_y3zscl9cz,ord_1779011107968_yozxw5j16,9a334e45-e394-4b78-81fb-97d78243530e,5,0.5,272,1360,كباب حلة دسم خفيف تقطيع وسط,2026-05-17 09:45:07.201+00,,
item_1779011108117_zevbarrsd,ord_1779011107968_yozxw5j16,fe84b67b-0bfd-4204-94a3-24c113e2156f,3,0.5,265,795,,2026-05-17 09:45:07.201+00,,
item_1779011382130_wzyfybfys,ord_1779011382027_sok5o9boj,d7e6446e-28ba-4637-94c7-f43023578a9b,1,0.4,203,203,,2026-05-17 09:49:41.382+00,,
item_1779011670224_106n2zg0g,ord_1779011670125_htrxowtr0,31f164ed-4b8a-4665-8181-88e978f258d8,3,0.4,162,486,,2026-05-17 09:54:29.524+00,,
item_1779011670224_7rahipfhb,ord_1779011670125_htrxowtr0,bbd83b7f-bdc7-4178-a6b0-0b0e197df10b,3,0.4,105,315,,2026-05-17 09:54:29.524+00,,
item_1779011670224_k0t7bbce2,ord_1779011670125_htrxowtr0,91562268-5174-4685-93fc-24979b4f0096,1,0.95,265.99,265.99,,2026-05-17 09:54:29.524+00,,
item_1779011670224_vwtse7qnx,ord_1779011670125_htrxowtr0,48b56c3a-7b14-4deb-93f9-bddfb8e5d030,2,0.4,197,394,,2026-05-17 09:54:29.524+00,,
item_1779012208963_cgjlo8em9,ord_1779012208857_z678awwrw,fe84b67b-0bfd-4204-94a3-24c113e2156f,1,0.5,265,265,,2026-05-17 10:03:28.183+00,,
item_1779012208963_gd85jwgx6,ord_1779012208857_z678awwrw,7dccb3d4-c5b4-4ac6-bf6e-4c9b80a87b6f,2,0.4,209,418,,2026-05-17 10:03:28.183+00,,
item_1779012208963_hn41xqgla,ord_1779012208857_z678awwrw,9a334e45-e394-4b78-81fb-97d78243530e,4,0.5,272,1088,,2026-05-17 10:03:28.183+00,,
item_1779013668237_bqkekdpdc,ord_1779013507028_q765t8syo,29a0faea-d999-4c3c-b641-fe0bd9d0beb4,4,0.5,282,1128,تقطيع رفيع,2026-05-17 10:27:47.62+00,,
item_1779013668237_wbt9p5dt1,ord_1779013507028_q765t8syo,3fc42d76-77cd-4557-891e-7abf7d0f8e7c,1,1,715,715,"  تقطيع حلقات وسط التنضيف مفروم + 2 مفروم285ج  بدون دسم يضاف علي مفروم الفلتو  ",2026-05-17 10:27:47.62+00,,
