productName,basePrice,offerPrice,"b2b
weight ",Fat ratio,"Ready/Packaged 
or Op needed"
" لحم كندوز خضار-B 
",514,509,1.000,30% دسم ,"Ready, not packaged"
" لحم سن -B
",514,509,1.000,"من الضلوع العلويه 
20:30% دسم ","Ready, not packaged"
"كباب حلة أحمر خفيف  دسم-B 
",558,547,1.000,من الرقبة  / 5 - 10% دسم ,"Ready, not packaged"
" كباب حلة احمر  بدون دسم-B
",603,585,1.000,بدون,"Ready, not packaged"
" لحم مفروم دسم وسط-B
",491,481,1.000,15-20%,"Ready, not packaged"
" لحم مفروم دسم قليل-B 
",536,528,1.000,5 - 10%,"Ready, not packaged"
" لحم مفروم أحمر  بدون دسم-B
",603,585,1.000,بدون,"Ready, not packaged"
" موزة
قطعيه  كامله",420,399,1.000,قليل الدسم,"Ready, not packaged"
" موزة
بالكيلو ",508,498,1.000,,Needs operation
" أوسوبوكو-B
",583,571,1.000,عالية الدسم,Needs operation
"بفتيك-B 
",581,564,1.000,اسكالوب  / قليل دسم ,"Ready, not packaged"
"وش فخدة
ع بعضها ",563,546,1.000,بدون/ع بعضها ,"Ready, not packaged"
"سمانة
",551,534,1.000,قليل الدسم,Needs operation
" كولاتة
",551,534,1.000,قليل الدسم,Needs operation
" بيكاتا-B
",581,564,1.000,قليل الدسم,"Ready, not packaged"
"بريسكت
دوش",534,529,1.000,دسم وسط ,"Ready, not packaged"
"دوش بالعضم 
 غير مقطع 
Brisket ",356,345,1.000,,Needs operation
"شورت ريبس 
 قطعه كامله
 "" صره""",413,405,1.000,عالي الدسم,Needs operation
"شورت ريبس 
مقطع",578,566,1.000,,"Ready, not packaged"
" انتركوت 
سيراليون استيك 
 كامل بدون تقطيع
",561,544,1.000,,"Ready, not packaged"
" انتركوت 
سيراليون استيك
 B2B specs",677,663,1.000,,"Ready, not packaged"
" ريب اى
 كامل بدون تقطيع
",539,523,1.000,بيت كلاوي/عالي دسم ,"Ready, not packaged"
" ريب اى-B
",701,680,1.000,بيت كلاوي/عالي دسم ,Needs operation
" تى بون
B2B specs",704,690,1.000,,Needs operation
"ستريبلوين استيك-B
",559,542,1.000,,"Ready, not packaged"
" فوريبس-B
",632,600,1.000,,"Ready, not packaged"
"توماهوك-B 
",631,599,1.000,,"Ready, not packaged"
" فلانك ستيك
 قطعيه 
 فلانك ستيك",532,505,1.000,,Needs operation
سكيرت ستيك-B,606,576,1.000,Skirt Steak يهودية,"Ready, not packaged"
"سبايدر ستيك-B
",598,568,1.000,,"Ready, not packaged"
 تندر لوين ستيك -B,1076,1054,1.000,شاتوه بريان,"Ready, not packaged"
"عرق فلتو
 بالبنجتة والتنضيف
",700,665,1.000,,"Ready, not packaged"
"عرق فلتو صولو
عبل كامل  ",952,857,1.000,,Needs operation
" عرق رستو
",580,551,1.000," لحمة باردة
او عرق تربيانكو  ",Needs operation
"بوش 
",132,129,1.000,,"Ready, not packaged"
" كبدة صافى 
عالي الدسم",610,598,1.000,,"Ready, not packaged"
"عجل بقرى""  صافى"" 
وزن(250ك:260ك)",353,353,1.000,,"Ready, not packaged"
"فخاد ارط وزن
(76:85ك)
",377,377,1.000,,"Ready, not packaged"
"فخدة مزررة
غير مقطع",418,418,1.000,,"Ready, not packaged"
"زند
كامل غير مقطع",348,348,1.000,,"Ready, not packaged"
"أميرية
",418,418,1.000,,"Ready, not packaged"
"صره بالعظم 
كامل غير مقطع- 
short ribs ",331,331,1.000,,"Ready, not packaged"
"ماسورة 
متقطعة",88,88,عدد,,"Ready, not packaged"
" عكاوى
 أوكس تييل ox tail/عالي دسم ",480,480,1.000,,"Ready, not packaged"
"كوارع 
عالي الدسم",455,432,بالقطعه ,,"Ready, not packaged"
"ممبار  بدون حشو
عالي الدسم",460,455,1.000,,"Ready, not packaged"
" كفتة داوود باشا-B
",508,483,1.000,,Ready and packaged
"كفتة أرز-B
",424,382,1.000,,Ready and packaged
"كفتة الحاتي -B
",533,506,1.000,,Ready and packaged
"كفتة ضانى-B
",541,514,1.000,,Ready and packaged
"طرب-B
",537,532,1.000,,Ready and packaged
"سجق لحم-B
",499,474,1.000,,Ready and packaged
"سجق مغربى-B
",542,515,1.000,,Ready and packaged
"سجق ايطالى-B
",542,515,1.000,,Ready and packaged
"برجر لحم -B
",526,500,1.000,,Ready and packaged
"كبيبة-B
",382,344,1.000,,Ready and packaged
"حواوشى رغيف 
",214,212,3 رغيف ,,Ready and packaged
" فخدة ضانى 
",563,535,1.000,,"Ready, not packaged"
" كتف ضانى 
",538,511,1.000,,"Ready, not packaged"
" رقبة ضانى
",438,429,1.000,,"Ready, not packaged"
"ربش ضاني مع بيت كلاوي او دوش ش
",585,544,1.000,,"Ready, not packaged"
"ريش ضانى سولو
",878,843,1.000,,Needs operation
"دوش ضانى
",538,511,1.000,,"Ready, not packaged"
"لية ضانى
",338,304,1.000,,"Ready, not packaged"
"نص خروف ضانى استرالى
",3120,3089,1,,"Ready, not packaged"
"ريش ضانى استرالى
""صولو ""

",1140,1129,1.000,,"Ready, not packaged"
" دجاج ابيض
",173,173,1.000,,Ready and packaged
"دجاج ابيض مسحب
",227,227,1.000,,Ready and packaged
"صدور دجاج بالعضم فريش
",188,188,1.000,,Ready and packaged
"أوراك دجاج فريش 
",144,144,1.000,,Ready and packaged
" دبابيس فريش
",144,144,1.000,,Ready and packaged
"اجنحة فريش
",104,104,1.000,,Ready and packaged
