id,productName,productCategory,packagingType,weightGrams,pricingMode,productCondition,fatRatioComments,onlineEnabled,isActive
prod_1785656884530_b2b000,لحم كندوز خضار-B,غير محدد,,1.000,weight,فريش,30% دسم,FALSE,TRUE
prod_1785656884530_b2b001,لحم سن -B,غير محدد,,1.000,weight,فريش,"من الضلوع العلويه 
20:30% دسم",FALSE,TRUE
prod_1785656884530_b2b002,كباب حلة أحمر خفيف دسم-B,غير محدد,,1.000,weight,فريش,من الرقبة  / 5 - 10% دسم,FALSE,TRUE
prod_1785656884530_b2b003,كباب حلة احمر بدون دسم-B,غير محدد,,1.000,weight,فريش,بدون,FALSE,TRUE
prod_1785656884530_b2b004,لحم مفروم دسم وسط-B,غير محدد,,1.000,weight,فريش,15-20%,FALSE,TRUE
prod_1785656884530_b2b005,لحم مفروم دسم قليل-B,غير محدد,,1.000,weight,فريش,5 - 10%,FALSE,TRUE
prod_1785656884530_b2b006,لحم مفروم أحمر بدون دسم-B,غير محدد,,1.000,weight,فريش,بدون,FALSE,TRUE
prod_1785656884530_b2b007,موزة قطعيه كامله,غير محدد,,1.000,weight,فريش,قليل الدسم,FALSE,TRUE
prod_1785656884530_b2b008,موزة بالكيلو,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b009,أوسوبوكو-B,غير محدد,,1.000,weight,فريش,عالية الدسم,FALSE,TRUE
prod_1785656884530_b2b010,بفتيك-B,غير محدد,,1.000,weight,فريش,اسكالوب  / قليل دسم,FALSE,TRUE
prod_1785656884530_b2b011,وش فخدة ع بعضها,غير محدد,,1.000,weight,فريش,بدون/ع بعضها,FALSE,TRUE
prod_1785656884530_b2b012,بيكاتا-B,غير محدد,,1.000,weight,فريش,قليل الدسم,FALSE,TRUE
prod_1785656884530_b2b013,بريسكت دوش,غير محدد,,1.000,weight,فريش,دسم وسط,FALSE,TRUE
prod_1785656884530_b2b014,دوش بالعضم غير مقطع Brisket,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
