ZONE|AREA|Sub-Area|Average distance (km)|Value of delivery cost|Free delivery value
Zone 1|التجمع الخامس|النرجس|1.4|10|900
|التجمع الخامس|كمبوند الديار|5.2|40|900
|التجمع الخامس|التجمع|7.2|40|900
|التجمع الخامس|تجمع أول|7.2|40|900
|التجمع الخامس|لاك فيو|8.6|40|900
|التجمع الخامس|مون فالي|9.6|40|900
|التجمع الخامس|مصراوية|9.8000000000000007|40|900
|التجمع الخامس|ارابيلا|9.8000000000000007|40|900
zone 2|التجمع الخامس|المستثمرين|10.199999999999999|40|900
|التجمع الخامس|جاردينيا هايتس|10.4|40|900
|التجمع الخامس|دبلومسين|11|40|900
|التجمع الخامس|إيتاج|11|40|900
|التجمع الخامس|تجمع ثالث|11.4|40|900
|التجمع الخامس|الشويفات|11.6|40|900
|التجمع الخامس|ريفيرا|11.8|40|900
|القطامية|قطامية بالمز|12|40|900
|التجمع الخامس|لاميرادا|12.2|40|900
|التجمع الخامس|الزهوة|12.2|40|900
|التجمع الخامس|ريجنتس بارك|12.2|40|900
|التجمع الخامس|فيلاج جت|13|40|900
|التجمع الخامس|الامريكية|13.2|40|900
|التجمع الخامس|جنوب الاكديميه|13.4|40|900
|التجمع الخامس|زيزينيا المستقبل|13.6|40|900
|التجمع الخامس|لي روا|14|40|900
|التجمع الخامس|غرب أرابيلا|14.4|40|900
|التجمع الخامس|الأشرفية|14.4|40|900
|التجمع الخامس|الياسمين|15.2|40|900
|التجمع الخامس|ايست تاون|15.6|40|900
|التجمع الخامس|كايرو فيستيفال|15.6|40|900
|التجمع الخامس|زهرة التجمع|15.8|40|900
|التجمع الخامس|المصنع|16|40|900
|التجمع الخامس|كمبوند بارديس|16.2|40|900
|التجمع الخامس|حي الأندلس|16.2|40|900
|التجمع الخامس|قطامية بلازا|17|40|900
|التجمع الخامس|روضة الأزهر|17.399999999999999|40|900
|التجمع الخامس|فاميلي سيتي|17.399999999999999|40|900
|التجمع الخامس|البنفسج|18|40|900
|التجمع الخامس|كمبوند اوريانا|18.2|40|900
|التجمع الخامس|زيزينيا جاردنز|18.399999999999999|40|900
|التجمع الخامس|ميفيدا|18.8|40|900
|التجمع الخامس|النخيل|18.8|40|900
|التجمع الخامس|فاونتين بارك|18.8|40|900
|التجمع الخامس|غرب الجولف|19|40|900
|التجمع الخامس|ستون ريزيدنس|19|40|900
|التجمع الخامس|درة القاهرة|19.2|40|900
|القطامية|قطامية|20|40|900
|القطامية|قطامية هايتس|20|40|900
zone 3|التجمع الخامس|لوتس|20.399999999999999|40|900
|التجمع الخامس|كمبوند باتيو|20.8|40|900
|التجمع الخامس|كونكورديا|21|40|900
|التجمع الخامس|كمبوند بلاجيو|21|40|900
|التجمع الخامس|||40|900
|التجمع الخامس|كمبوند لاند مارك|21.8|40|900
|التجمع الخامس|ماونتن فيو|22.8|40|900
|التجمع الخامس|فيفث سكوير|22.8|40|900
|التجمع الخامس|ديار بارك|23|40|900
|التجمع الخامس|فيليت سوديك|23|40|900
|التجمع الخامس|دار مصر الأندلس|23|40|900
|التجمع الخامس|ماونتن فيو|22.8|40|900
|التجمع الخامس|لافونتين|23.2|40|900
|التجمع الخامس|تمر حنة|24.8|40|900
|التجمع الخامس|جاليريا مون|25|40|900
|التجمع الخامس|كمبوند الديار ريزيدنس|25|40|900
|التجمع الخامس|قرنفل هايتس|26|40|900
|التجمع الخامس|دار مصر القرنفل|26.2|40|900
|هضبه|عباد الرحمن|27|75|900
|التجمع الخامس|كمبوند ليان|27.4|75|900
|زهراء مدينه نصر|||75|900
|القطامية|فيلاج جاردنز|28|75|900
|التجمع الخامس|كمبوند سكوير|28.6|75|900
|التجمع الخامس|أمورادا|28.8|75|900
|التجمع الخامس|قطامية جاردنز|30|75|900
|التجمع الخامس|ماونتن فيو هايد بارك|30|75|900
zone 4|التجمع الخامس|هايد بارك|32|75|900
|المقطم|||75|900
|هضبه|ابراج سما|35|75|900
|التجمع الخامس|الأكاديمية|35.4|75|900
|هضبه|بفاريا|35.6|75|900
|هضبه|البارون|36|75|900
|هضبه|فرسان|36.6|75|900
|هضبه|تبارك|36.799999999999997|75|900
|دجله|عمارات السعودية|36.799999999999997|85|1400
|المقطم|اب تاون|36.799999999999997|85|1400
|التجمع الخامس|ستون بارك|37.200000000000003|40|900
|المعراج|المعراج العلوي|37.4|60|900
|زهراء المعادى|تيجان|37.6|75|900
|زهراء المعادى|بيتشو|37.6|75|900
|التجمع الخامس|ايست نيو كايرو|37.6|75|900
|مصر الجديده|مساكن شيراتون|38.4|85|1800
|التجمع الخامس|بالم هيلز|39.6|40|900
|مصر الجديده|صن سيتي|39.799999999999997|85|1800
zone 5|زهراء المعادى|اشجار دارنا|40.799999999999997|75|900
|زهراء المعادى|دجله|41.4|75|900
|شبرا|الدويقة|42|105|2300
|مصر الجديده|ارض جولف|43.2|105|2300
|مصر الجديده|ميدان الاسماعليه|43.4|85|100
|المعراج|المعراج السفلي|44|60|900
|مصر الجديده|الضاهر|45|85|1800
|مصر الجديده|روكسي|45.4|85|1800
|مصر الجديده|حمامات القبه|46|100|1800
|المنيل|دار السلام|47|100|1800
|مدينه نصر|العباسية|47.8|75|1400
|شبرا|باب الشعرية|48|105|2300
|مصر الجديده|جسر السويس|48.4|85|1800
|شبرا|رمسيس|48.4|105|2300
|مصر الجديده|الزيتون|48.6|85|1800
