productName,basePrice,offerPrice,"instashop
weight ",التغليف ,وصف المنتج ,أفضل الطبخات
كباب حلة أحمر خفيف  دسم ,302.00,299,0.500,طبق أسود بلاستيك,"لحم بدسم قليل مناسب للشوربه والاكلات الي بتتطعم بدسم خفيف 
نسأل مكعبات كبير/وسط/صغير؟", كباب حلة بالبصل - تسوية على النار
 كباب حلة احمر   دسم وسط ,288.00,286,0.500,طبق أسود بلاستيك,,
 كباب حلة احمر  بدون دسم,314.00,310,0.500,طبق أسود بلاستيك,"مناسب للدايت 
نسأل مكعبات كبير/وسط/صغير؟",- طريقة التسوية: يتشوح في السمنة على النار - نضيف البصل والفلفل المتقطع ونهدي النار لغاية ما المياه تنشف - نحط فنجان مياه كل شوية لغاية ما تستوي
 لحم سن ,294.00,,0.500,طبق أسود بلاستيك,"مناسب للشوربه والاكلات اللي محتاجة دسم معقول 

نسأل مكعبات كبير/وسط/صغير؟","- نعمل منه الشوربة
- يُضاف إلى الخضار"
 لحم مفروم دسم قليل ,286.00,283,0.500,طبق أسود بلاستيك,"مفروم دسم خفيف
نسأل  مفروم ناعم/وسط/ خشن؟","- عصّاج
- الكفتة قليلة الدسم ولو عايزة طعم المشوي ممكن  تحطي فحمة علي حتة فويل وسط الصينية"
 لحم مفروم دسم وسط,288.00,285,0.500,طبق أسود بلاستيك,نسأل  مفروم ناعم/وسط/ خشن؟,"- أفضل حاجة للحواوشي لو  بتحب تعمل الحواوشي بنفسها
- الكفتة عشان نسبة الدسم اللي فيه يتظيط الكفتة ولو عايزة طعم المشوي ممكن  تحطي فحمة علي حتة فويل وسط الصينية
- افضل مفروم للمكرونة البشاميل"
 موزة,303.00,299,0.500,طبق أسود بلاستيك," طرية وناعمة 
 بتتقطع حلقات (طرانشات)نسأل  سميكة / وسط؟ - لو عاوزها مكعبات نسأل وسط/كبير/صغير؟ - او ممكن عميل يحتاج بدون تقطيع ","- فتة ويتسقى العيش المحمص بشوربة الموزة
                                                                                                                                   - تتسلق وندخلها تحت الشواية تتحمر او ممكن نحمرها فى ملعقة سمن بعد التحمير نرش عليهم ملح و فلفل اسود                                    
          - تتسلق وتوضع في صينية في الفرن مع حلقات الفلفل و البصل و الطماطم وقطعة زبدة و تتبل بالملح و الفلفل"
بفتيك ,314.00,310,0.500,طبق أسود بلاستيك + وضع كيس بين كل شريحة والتانية,"من المنتجات التي نتميز بها - قليل دسم 
ملحوظة لفريق المبيعات: غير محبب خروجه يوم الذبح بيحتاج يتشمع وياخد وقت ",- بالبصل والفلفل الأسود - صينية في الفرن صينية بفتيك بالبطاطس 
 بيكاتا,308.00,305,0.500,حسب القطعية, قطعية قليل دسم  /شرائح رقيقة من الكولاتة لسهولة التسوية ,"-  بيكاتا بصوص الديمجلاس والفلفل الالوان
-  شرائح بالصوص البني (صوص الديمجلاس)
- بيكاتا بالمشروم"
بريسكت,588.00,576,0.950,فاكيوم,"قطعية من الصدر (ناعمة-طرية) دسم وسط /الكيس مكون من قطعة  
(مجمد للحفاظ علي خصائص القطعية ) ","التتبيل جيدا 
معلقة  خردل مطحون/ملح /فلفل اسود /بابريكا / بصل اخضر مطحون/توم مجفف
بقدونس مقطع(كالحبوب)
تغليفها ب2 طبقة فويل - تترك 2:3.5 ساعات بالفرن او علي الشواية (طول فترة التسوية) - يساعد ف الحصول علي 
لحم اطري ولذيذ) - تترك كما هي ساعة خارج الفرن       "
شورت ريبس ,564.00,552,0.950,فاكيوم ,"اضلاع قصيرة من الضلع الأمامي 
مذاق مميز جدا/الكيس مكون من 3:4 قطع   /(مجمد للحفاظ علي خصائص القطعية ) ","طريقة الطهي

 ♦️اناء علي النار به 

لتر ماء/2جزر/1بصل/ورق لورا/فلفل اسود حصي/5حبات قرنفل/4كبابة صيني(او قرفة+جوزة الطيب)/70جم ملح/30جم سكر/كرفس/200ملي صويا صوص/4فص توم 

🔅يترك المحلول حتي الغليان 
🔅يتم تبريده تماما 
🔅ثم نغمر اللحم فيه

 🔅تركه بالتلاجة حتي اليوم التالي(12ساعة تقريبا)

⬆️ يساعد علي جعل الأنسجة طرية/ومذاق متبل ممتاز 
♦️يوم التسوية 

🔅يتم خروج اللحم من التبريد 

🔅تحضير 

5فص توم/معلقة كبيرة فلفل اسود/معلقة صغيرة 

كبابة صيني(او قرفة+قرنفل+جوزة الطيب)/عود جوز ماري(فريش)/زعتر اخضر/ملح بسيط 

🔅⬆️يتم طحنهم 

 

🔅ثم تتبيل اللحم بالكامل بها 

+رشة بابريكا 
♦️نضع ب صينية

🔅2طبقة فويل+2طبقة ورق زبدة 

🔅ثم وضع اللحم ناحية العضم

ولفه ب طبقات ورق الزبدة ثم الفويل 

🔅ثم لف طبقة اخري من الفويل

بشكل محكم جدا 

♦️يتم دخول الصينية فرن سخن جدا 

🔅ثم ضبط الحرارة 130 

🔅تستغرق اللحم 4ساعات  

⬆️بعد مرور ساعتين 

🔅 يتم قلب القطعية ناحية اللحم لاستكمال الطهي 

♦️يتم خروجها من الفرن 

🔅ثم نزع العضم بسهولة 

لأكلة شهية /مميزة جدا 

"
 انتركوت ,305.00,280,0.450,فاكيوم,"السيراليون مشتق من الانتركوت 
 يتميز بنكهه مميزة وقوام 
طري.. لمحبي الشواء (لو عميل محتاج سيراليون تحديداً نتابع)","- ستيك مشوى على الجريل او صينية 
 - شرائح بالصوص البني (صوص الديمجلاس)
- بيكاتا بالمشروم "
 ريب اى,305.00,301,0.500,فاكيوم,الريب آي هي نفسها الريش بس مخلية من العضمة / الكيس مكون من 2 قطع ستيك /(مجمد للحفاظ علي خصائص القطعية ) ,"- ستيك مشوى على الجريل
- فاهيتا اللحم مع الخضار المشوي جنب مكرونة بيضاء"
عرق فلتو-I,822.00,806,0.950,طبق أسود بلاستيك كبير + غطاء,"عرق الفلتو أفضل حاجة للشوى بيطلع على  بعضه وزنه (يتراوح بين٣ك ل٤ك )\التوضيب بيكون 40:50 % من الوزن لو العميل مستكتر النسبة نرشحله فلتو صولو 
بيطلع العرق + مفروم  (يمكن تتبيله حسب طلب العميل و المفروم بيتعمل كفتة أو برجر)  /  تنضيف الفلتو لو العميل طالبه كفتة او برجر ناكد عليه انه هيتبعت من مصنعاتنا نفس الوزن وبتكون مجمدة ...رفض يبقي ياخده مفروم","الوصفة:
- نحط السمنة تسخن على النار ننزل بالعرق عليها لازم وهى سخنة جدا لغاية تتحمر من كل اتجاه
- نحطها في صينية فى ورق فويل ونلفها ونحط في الصينية ماء وكل ما تنشف نزود
- نسيبها تستوى ساعة او اكتر على حسب حجمها"
 عرق رستو-I,1376.00,1362,1.900,طبق أسود بلاستيك كبير + غطاء,"العرق بيطلع علي بعضه (وزن 2 إلى 3 ك)بيطلع متربط و متنظف 
ممكن يتم حشوه بالخضار و الشيدر و التركى بيتبل وبيتلف 
نسأل العميل
متربط ولا لأ؟
","الوصفة:
- نسخن الزيت ونحط اللحم بكامله عشان ياخد صدمة من كل الجوانب ويتغير لون العرق
- نغلي المرق ونحط عرق اللحم داخل المرق وهو سخن ويتغطى حتى تمام النضج
- يتصفى من المرق ويتحط في الثلاجة
- وقت التقديم يطلع من الثلاجة ويتقطع شرائح للتقديم"
 عكاوى-I,705.00,691,"""by piece
1.100:1.400 KG""",طبق بلاستيك أبيض,"هو الذيل - يباع بالواحدة علي حسب وزنها  1:1.5ك تقريبا
يرسل  متنظف جيدا/بتخرج مجمدة للحفاظ ع خصائصها ","-  طاجن بالبصل أو طاجن بالبطاطس
 - شوربة لأن دسمها عالي"
كوارع ,501.00,495,1 per pack ,طبق بلاستيك أبيض,"يوجد كارع أمامي و كارع خلفي حسب طلب العميل
يرسل متنظف و متقطع (نسال تقطيع وسط/كبير/صغير؟)","- شوربة كوارع
- طاجن ورق العنب بالكوارع في الفرن"
نخاع ,124.00,112,0.200,طبق أسود بلاستيك,"عبارة عن الجزء اللي جوا الماسورة
 مفيد لتنظيم الهضم .. والكولاچين في النخاع ييساعد على بناء الجسم وزيادة المناعة"," أحلى الوصفات
1. للأكل: شوربة
2. للأكل: يتسلق ويتهرس مع الخضار للأطفال أو يستوي مع شوربة الخضار
3. للشعر: نعمل له حمام مياه فيتحول قوامه ليكون كريمي .. يوضع على الشعر لمدة ليلة
"
كولاچين طبيعي ,272.00,232,0.500,طبق أسود بلاستيك,"لأول مرة ف مصر 
مستخرج من نخاع لحم بقري بلدي
طبيعي 100٪ بدون أي إضافات /يحفظ مجمد
 ","يضاف للشوربة/المحاشي 
يعد بديل ممتاز لمكعبات المرق
يمكن تناول70-100جم يوميا  / من فوائده
عوامل مقاومة الشيخوخة - بشرة منتعشة - تعزز الهضم - تعزز مرونة المفاصل - تقوي المناعة"
" بفتيك متبل
",545.00,539,0.950,طبق أسود بلاستيك + وضع كيس بين كل شريحة والتانية,"من المنتجات التي نتميز بها -قليل دسم يكتسب دسامة مع التحمير 
ملحوظة لفريق المبيعات: غير محبب خروجه يوم الذبح بيحتاج يتشمع وياخد وقت /الطبق من 7:9 قطع ",- محمر (سكالوب بانيه)
 شاورما لحم متبلة,242.00,234,0.400,طبق,"لحم تقطيع رفيع  في تتبيلة  مميزة 
",تسوية علي النار 
